排名,大学名称,所在省市,类型,总分
1,清华大学,北京,综合,852.5
2,北京大学,北京,综合,746.7
3,浙江大学,浙江,综合,649.2
4,上海交通大学,上海,综合,625.9
5,南京大学,江苏,综合,566.1
6,复旦大学,上海,综合,556.7
7,中国科学技术大学,安徽,理工,526.4
8,华中科技大学,湖北,综合,497.7
9,武汉大学,湖北,综合,488
10,中山大学,广东,综合,457.2
11,西安交通大学,陕西,综合,452.5
12,哈尔滨工业大学,黑龙江,理工,450.2
13,北京航空航天大学,北京,理工,445.1
14,北京师范大学,北京,师范,440.9
15,同济大学,上海,理工,439
16,四川大学,四川,综合,435.7
17,东南大学,江苏,综合,432.7
18,中国人民大学,北京,综合,409.7
19,南开大学,天津,综合,402.1
20,北京理工大学,北京,理工,395.6
21,天津大学,天津,理工,390.3
22,山东大学,山东,综合,387.9
23,厦门大学,福建,综合,383.3
24,吉林大学,吉林,综合,379.5
25,华南理工大学,广东,理工,379.4
26,中南大学,湖南,综合,378.6
27,大连理工大学,辽宁,理工,365.1
28,西北工业大学,陕西,理工,359.6
29,华东师范大学,上海,师范,358
30,中国农业大学,北京,农业,351.5
31,湖南大学,湖南,综合,348.3
32,电子科技大学,四川,理工,334.8
33,北京科技大学,北京,理工,321.8
34,重庆大学,重庆,综合,320.9
35,南京航空航天大学,江苏,理工,319.5
36,南京理工大学,江苏,理工,317.1
37,东北大学,辽宁,理工,314
38,苏州大学,江苏,综合,306.8
39,华中农业大学,湖北,农业,300.5
40,兰州大学,甘肃,综合,300.4
41,西安电子科技大学,陕西,理工,299.4
42,华东理工大学,上海,理工,294.6
43,北京交通大学,北京,理工,293.6
44,华中师范大学,湖北,师范,292.4
45,上海大学,上海,综合,290
46,南方科技大学,广东,综合,289
47,南京农业大学,江苏,农业,283.2
48,暨南大学,广东,综合,282.6
49,中国海洋大学,山东,综合,281.2
50,南京师范大学,江苏,师范,279.9
51,哈尔滨工程大学,黑龙江,理工,279.4
52,武汉理工大学,湖北,理工,277.6
53,西南交通大学,四川,理工,277.3
54,中国地质大学（武汉）,湖北,理工,274.9
55,北京邮电大学,北京,理工,273.7
56,东北师范大学,吉林,师范,272.5
57,中国石油大学（北京）,北京,理工,272.4
58,河海大学,江苏,理工,271.8
59,江南大学,江苏,综合,271.5
60,中国矿业大学,江苏,理工,264.9
61,西北大学,陕西,综合,262.4
62,上海科技大学,上海,综合,261.5
63,北京工业大学,北京,理工,260.5
64,北京化工大学,北京,理工,259.7
65,深圳大学,广东,综合,259.1
66,西南大学,重庆,综合,257.5
67,华南师范大学,广东,师范,254.4
68,西北农林科技大学,陕西,农业,251.1
69,扬州大学,江苏,综合,250.5
70,中国地质大学（北京）,北京,理工,248.8
71,中国矿业大学（北京）,北京,理工,247
72,江苏大学,江苏,综合,245.9
73,东华大学,上海,理工,245.2
74,中国石油大学（华东）,山东,理工,244.8
75,宁波大学,浙江,综合,244.3
76,福州大学,福建,理工,243.8
77,北京林业大学,北京,林业,242.3
78,合肥工业大学,安徽,理工,240.5
79,陕西师范大学,陕西,师范,239.9
80,华北电力大学,北京,理工,235.7
81,浙江工业大学,浙江,理工,235.5
82,南京工业大学,江苏,理工,235.4
83,郑州大学,河南,综合,234.9
84,云南大学,云南,综合,234.1
85,湖南师范大学,湖南,师范,233.4
85,首都师范大学,北京,师范,233.4
87,南昌大学,江西,综合,228.4
88,华南农业大学,广东,农业,227.1
89,上海理工大学,上海,理工,221.4
90,安徽大学,安徽,综合,219.2
91,长安大学,陕西,理工,218.9
92,燕山大学,河北,理工,216.7
93,南京信息工程大学,江苏,理工,216.6
94,湖北大学,湖北,综合,214.5
95,广东工业大学,广东,理工,214.2
96,南京邮电大学,江苏,综合,213.9
97,河南大学,河南,综合,212.9
98,上海师范大学,上海,师范,212.8
99,杭州电子科技大学,浙江,理工,211.6
100,广州大学,广东,综合,211.1
101,广西大学,广西,综合,210.9
102,福建师范大学,福建,师范,210.2
103,湘潭大学,湖南,综合,210.1
104,浙江师范大学,浙江,师范,209.8
105,山东师范大学,山东,师范,207.4
106,河北工业大学,天津,理工,203.4
107,河北大学,河北,综合,201.7
108,青岛大学,山东,综合,201.4
109,大连海事大学,辽宁,理工,200.9
109,杭州师范大学,浙江,师范,200.9
111,浙江理工大学,浙江,理工,200.3
112,东北农业大学,黑龙江,农业,198.5
112,太原理工大学,山西,理工,198.5
114,武汉科技大学,湖北,理工,197.9
115,南京林业大学,江苏,林业,197
116,山西大学,山西,综合,196.6
117,东北林业大学,黑龙江,林业,194.8
118,北京建筑大学,北京,理工,194.1
119,辽宁大学,辽宁,综合,192.9
120,福建农林大学,福建,农业,192.5
121,江苏师范大学,江苏,师范,192.4
122,华侨大学,福建,综合,191.7
123,内蒙古大学,内蒙古,综合,191.6
124,汕头大学,广东,综合,191.2
125,江西师范大学,江西,师范,188.8
126,长沙理工大学,湖南,理工,188.3
127,昆明理工大学,云南,理工,187.5
128,西安理工大学,陕西,理工,187.2
129,常州大学,江苏,理工,186.4
130,黑龙江大学,黑龙江,综合,184.1
130,湖北工业大学,湖北,理工,184.1
132,西安建筑科技大学,陕西,理工,182.6
133,西南石油大学,四川,理工,181.9
134,贵州大学,贵州,综合,181.6
135,河北师范大学,河北,师范,181.1
136,安徽师范大学,安徽,师范,180.8
137,重庆邮电大学,重庆,理工,179.9
138,中国计量大学,浙江,理工,178.3
139,济南大学,山东,综合,177.1
140,辽宁师范大学,辽宁,师范,176.7
141,四川农业大学,四川,农业,176.2
142,江苏科技大学,江苏,理工,175.9
143,河南师范大学,河南,师范,175.7
144,温州大学,浙江,综合,175.5
145,天津师范大学,天津,师范,174.8
146,南通大学,江苏,综合,174.6
147,上海海事大学,上海,理工,173.6
148,海南大学,海南,综合,172.7
149,山东科技大学,山东,综合,172.3
150,天津工业大学,天津,理工,171.2
151,广西师范大学,广西,师范,170.8
151,武汉工程大学,湖北,理工,170.8
153,新疆大学,新疆,综合,170.3
154,上海海洋大学,上海,农业,169.9
155,河南农业大学,河南,农业,169.7
156,成都理工大学,四川,理工,168.3
157,三峡大学,湖北,综合,167.9
158,国际关系学院,北京,综合,167.5
159,浙江农林大学,浙江,林业,167
160,湖南农业大学,湖南,农业,165.9
161,陕西科技大学,陕西,理工,165.2
162,北方工业大学,北京,理工,164.8
163,西北师范大学,甘肃,师范,164
164,曲阜师范大学,山东,师范,163.3
164,石河子大学,新疆,综合,163.3
166,山东农业大学,山东,农业,162.1
167,云南师范大学,云南,师范,162
168,石家庄铁道大学,河北,理工,161.3
169,安徽农业大学,安徽,农业,160.5
170,安徽工业大学,安徽,理工,160.4
171,四川师范大学,四川,师范,159.7
172,青岛科技大学,山东,理工,158.3
173,湖南科技大学,湖南,综合,158.1
174,重庆交通大学,重庆,理工,157.3
175,河北农业大学,河北,农业,156.8
176,长春理工大学,吉林,理工,156.7
176,天津理工大学,天津,理工,156.7
178,河南科技大学,河南,综合,156.6
179,武汉纺织大学,湖北,理工,155.6
180,中北大学,山西,理工,155
181,齐鲁工业大学,山东,理工,154.6
182,北京信息科技大学,北京,理工,154.5
183,沈阳农业大学,辽宁,农业,154.4
184,宁夏大学,宁夏,综合,153.4
185,天津科技大学,天津,理工,153.3
186,吉林农业大学,吉林,农业,151.2
186,沈阳建筑大学,辽宁,理工,151.2
186,苏州科技大学,江苏,理工,151.2
189,上海电力大学,上海,理工,151
190,长江大学,湖北,综合,150.8
191,西安科技大学,陕西,理工,150.3
191,浙江海洋大学,浙江,农业,150.3
193,哈尔滨师范大学,黑龙江,师范,148.9
194,河南工业大学,河南,理工,148.8
194,沈阳航空航天大学,辽宁,理工,148.8
196,哈尔滨理工大学,黑龙江,理工,148.6
197,华东交通大学,江西,理工,147.9
198,上海工程技术大学,上海,理工,147.4
198,延边大学,吉林,综合,147.4
200,河北科技大学,河北,理工,146.9
200,沈阳师范大学,辽宁,师范,146.9
202,西南科技大学,四川,理工,146.7
202,中南林业科技大学,湖南,林业,146.7
204,大连工业大学,辽宁,理工,146.6
205,重庆师范大学,重庆,师范,146.5
206,南昌航空大学,江西,理工,146.2
207,河南理工大学,河南,理工,146.1
208,南华大学,湖南,综合,145
209,重庆理工大学,重庆,理工,144.9
210,渤海大学,辽宁,综合,142.5
211,华北理工大学,河北,综合,142.2
212,兰州理工大学,甘肃,理工,142
213,安徽理工大学,安徽,理工,141.9
213,大连大学,辽宁,综合,141.9
215,海南师范大学,海南,师范,141.8
216,东北电力大学,吉林,理工,141.1
217,中国民航大学,天津,理工,141
218,大连交通大学,辽宁,理工,140.7
219,成都信息工程大学,四川,理工,140.6
220,江西农业大学,江西,农业,140.1
220,烟台大学,山东,综合,140.1
222,桂林电子科技大学,广西,理工,139.5
223,东莞理工学院,广东,理工,138.6
224,郑州轻工业大学,河南,理工,138.4
225,武汉轻工大学,湖北,理工,137.9
225,西藏大学,西藏,综合,137.9
227,北京农学院,北京,农业,137.8
228,佛山科学技术学院,广东,综合,137.4
229,北京电子科技学院,北京,理工,137.1
229,厦门理工学院,福建,理工,137.1
231,上海应用技术大学,上海,理工,137
232,鲁东大学,山东,综合,136.7
232,西安邮电大学,陕西,理工,136.7
234,兰州交通大学,甘肃,理工,136.6
235,沈阳工业大学,辽宁,理工,136.4
236,东北石油大学,黑龙江,理工,136
237,江汉大学,湖北,综合,135.9
238,内蒙古农业大学,内蒙古,农业,135.7
239,山东建筑大学,山东,理工,135.5
240,东华理工大学,江西,理工,135.2
241,华北水利水电大学,河南,理工,135.1
242,桂林理工大学,广西,理工,134.9
243,集美大学,福建,综合,134.8
243,沈阳化工大学,辽宁,理工,134.8
245,青岛农业大学,山东,农业,134.6
246,贵州师范大学,贵州,师范,133.9
247,西华师范大学,四川,师范,133
248,青海大学,青海,综合,132.6
249,辽宁工业大学,辽宁,理工,132.2
250,山东理工大学,山东,理工,132
251,青岛理工大学,山东,理工,131.6
252,安徽建筑大学,安徽,理工,131.5
253,江西理工大学,江西,理工,131.3
254,信阳师范学院,河南,师范,130.6
255,西华大学,四川,综合,130.5
256,山西师范大学,山西,师范,130.4
257,西安石油大学,陕西,理工,130
258,西安工程大学,陕西,理工,129.7
259,湖南工业大学,湖南,理工,129.5
260,内蒙古工业大学,内蒙古,理工,129.2
261,北京印刷学院,北京,理工,128.9
262,新疆师范大学,新疆,师范,128.3
263,北京联合大学,北京,综合,127.9
263,西安工业大学,陕西,理工,127.9
265,湖州师范学院,浙江,师范,127.6
266,成都大学,四川,综合,127.4
267,吉首大学,湖南,综合,127
268,南京工程学院,江苏,理工,126.8
269,北京石油化工学院,北京,理工,126.6
270,辽宁工程技术大学,辽宁,理工,126.5
271,吉林师范大学,吉林,师范,126
272,上海海关学院,上海,综合,125.5
273,绍兴文理学院,浙江,师范,124.5
274,南宁师范大学,广西,师范,124.4
275,合肥学院,安徽,理工,124.3
276,河北工程大学,河北,理工,123.8
276,辽宁科技大学,辽宁,理工,123.8
278,湖北师范大学,湖北,师范,123.7
278,沈阳理工大学,辽宁,理工,123.7
280,内蒙古师范大学,内蒙古,师范,123.4
281,云南农业大学,云南,农业,123.2
282,聊城大学,山东,综合,122.8
283,长春工业大学,吉林,理工,122.7
284,新疆农业大学,新疆,农业,122.5
285,大连海洋大学,辽宁,农业,122.2
286,中原工学院,河南,理工,122.1
287,安徽工程大学,安徽,理工,121.8
288,甘肃农业大学,甘肃,农业,121.7
289,辽宁石油化工大学,辽宁,理工,120.5
290,景德镇陶瓷大学,江西,理工,120.2
291,山西农业大学,山西,农业,119.6
292,天津城建大学,天津,理工,119.5
292,浙江科技学院,浙江,理工,119.5
294,赣南师范大学,江西,师范,119.2
295,广东技术师范大学,广东,师范,119.1
296,安庆师范大学,安徽,师范,119
297,江苏理工学院,江苏,理工,118.5
297,宁波工程学院,浙江,理工,118.5
299,盐城师范学院,江苏,师范,118.3
300,淮北师范大学,安徽,师范,118.2
301,沈阳大学,辽宁,综合,118
302,重庆科技学院,重庆,理工,117.8
303,嘉兴学院,浙江,综合,117.7
304,西南林业大学,云南,林业,117.3
305,淮阴师范学院,江苏,师范,117.1
306,盐城工学院,江苏,理工,117
307,五邑大学,广东,综合,116.5
308,常熟理工学院,江苏,综合,116.4
309,广东海洋大学,广东,农业,116.1
310,上海第二工业大学,上海,理工,115.9
311,福建工程学院,福建,理工,115.6
312,大理大学,云南,综合,115.2
313,四川轻化工大学,四川,理工,114.9
314,黑龙江八一农垦大学,黑龙江,农业,113.6
314,内蒙古科技大学,内蒙古,综合,113.6
316,延安大学,陕西,综合,113.5
317,天津农学院,天津,农业,113.3
318,内蒙古民族大学,内蒙古,综合,112.8
318,天津职业技术师范大学,天津,师范,112.8
320,闽江学院,福建,理工,112.3
321,湖南理工学院,湖南,理工,112.2
322,淮阴工学院,江苏,理工,111.9
322,江西科技师范大学,江西,师范,111.9
324,江苏海洋大学,江苏,理工,111.8
324,闽南师范大学,福建,师范,111.8
326,黑龙江科技大学,黑龙江,理工,111.6
327,北华大学,吉林,综合,111.5
328,仲恺农业工程学院,广东,农业,111.4
329,太原科技大学,山西,理工,111.2
330,南昌工程学院,江西,理工,110.5
331,长江师范学院,重庆,师范,110.4
